season,transaction_week,transaction_type,transaction_id,status_updated_ms,status_updated_utc,created_ms,created_utc,player_id,drop_from,add_to,owner_w_minus_1,owner_w,owner_w_plus_1,waiver_bid,consistent,reason
2023,2,waiver,1010096327218311168,1695193799069,2023-09-20T07:09:59.069000+00:00,1695188240392,2023-09-20T05:37:20.392000+00:00,6111,,5,,,5,2,True,
2023,2,waiver,1010067939359354880,1695193799069,2023-09-20T07:09:59.069000+00:00,1695181472199,2023-09-20T03:44:32.199000+00:00,8195,,7,,,7,0,True,
2023,2,waiver,1010067880903290880,1695193799069,2023-09-20T07:09:59.069000+00:00,1695181458262,2023-09-20T03:44:18.262000+00:00,6144,,7,,,7,0,True,
2023,2,waiver,1009932265889099776,1695193799069,2023-09-20T07:09:59.069000+00:00,1695149125123,2023-09-19T18:45:25.123000+00:00,6659,,2,,,2,9,True,
2023,2,waiver,1009932265889099776,1695193799069,2023-09-20T07:09:59.069000+00:00,1695149125123,2023-09-19T18:45:25.123000+00:00,8145,2,,2,2,,9,True,
2023,2,waiver,1009932162071629824,1695193799069,2023-09-20T07:09:59.069000+00:00,1695149100371,2023-09-19T18:45:00.371000+00:00,4602,2,,2,2,,2,True,
2023,2,waiver,1009932162071629824,1695193799069,2023-09-20T07:09:59.069000+00:00,1695149100371,2023-09-19T18:45:00.371000+00:00,6984,,2,,,2,2,True,
2023,2,free_agent,1008187524080177152,1694733146261,2023-09-14T23:12:26.261000+00:00,1694733146261,2023-09-14T23:12:26.261000+00:00,5980,5,,5,,,,True,
2023,2,free_agent,1008179835807698944,1694731313233,2023-09-14T22:41:53.233000+00:00,1694731313233,2023-09-14T22:41:53.233000+00:00,2359,7,,7,,,,True,
2023,3,waiver,1012637839005184000,1695798001463,2023-09-27T07:00:01.463000+00:00,1695794184021,2023-09-27T05:56:24.021000+00:00,2320,,5,,,5,1,True,
2023,3,free_agent,1012637692502310912,1695794149093,2023-09-27T05:55:49.093000+00:00,1695794149093,2023-09-27T05:55:49.093000+00:00,9495,5,,5,5,,,True,
2023,3,waiver,1012598130140938240,1695798001463,2023-09-27T07:00:01.463000+00:00,1695784716690,2023-09-27T03:18:36.690000+00:00,2549,,7,,,7,38,True,
2023,3,free_agent,1011685838796709888,1695567209484,2023-09-24T14:53:29.484000+00:00,1695567209484,2023-09-24T14:53:29.484000+00:00,7551,7,,7,,,,True,
2023,3,free_agent,1011647128965308416,1695557980341,2023-09-24T12:19:40.341000+00:00,1695557980341,2023-09-24T12:19:40.341000+00:00,5154,11,,11,,,,True,
2023,3,waiver,1011122070449156096,1695798001463,2023-09-27T07:00:01.463000+00:00,1695432796635,2023-09-23T01:33:16.635000+00:00,10870,5,,5,5,,1,True,
2023,3,waiver,1011122070449156096,1695798001463,2023-09-27T07:00:01.463000+00:00,1695432796635,2023-09-23T01:33:16.635000+00:00,10221,,5,,,5,1,True,
2023,3,waiver,1011121925201063936,1695452974537,2023-09-23T07:09:34.537000+00:00,1695432762005,2023-09-23T01:32:42.005000+00:00,829,,5,,5,5,6,True,
2023,3,waiver,1010422979869720576,1695279600022,2023-09-21T07:00:00.022000+00:00,1695266120453,2023-09-21T03:15:20.453000+00:00,5010,,1,,1,1,0,True,
2023,3,waiver,1010422807227920384,1695279600022,2023-09-21T07:00:00.022000+00:00,1695266079292,2023-09-21T03:14:39.292000+00:00,7602,,1,,1,1,0,True,
2023,3,free_agent,1010311558796238848,1695239555599,2023-09-20T19:52:35.599000+00:00,1695239555599,2023-09-20T19:52:35.599000+00:00,5347,5,,5,,,,True,
2023,4,waiver,1015138385758965760,1696402801486,2023-10-04T07:00:01.486000+00:00,1696390360825,2023-10-04T03:32:40.825000+00:00,5121,,5,,,5,4,True,
2023,4,trade,1015116274201948160,1696469739630,2023-10-05T01:35:39.630000+00:00,1696385089019,2023-10-04T02:04:49.019000+00:00,7538,3,4,3,3,4,,True,
2023,4,waiver,1015003303723257856,1696402801486,2023-10-04T07:00:01.486000+00:00,1696358154758,2023-10-03T18:35:54.758000+00:00,7496,,2,,,2,5,True,
2023,4,waiver,1015003303723257856,1696402801486,2023-10-04T07:00:01.486000+00:00,1696358154758,2023-10-03T18:35:54.758000+00:00,6659,2,,2,2,,5,True,
2023,4,free_agent,1013268808301260800,1695944618824,2023-09-28T23:43:38.824000+00:00,1695944618824,2023-09-28T23:43:38.824000+00:00,10233,7,,7,,,,True,
2023,4,free_agent,1013268694513987584,1695944591695,2023-09-28T23:43:11.695000+00:00,1695944591695,2023-09-28T23:43:11.695000+00:00,8208,7,,7,,,,True,
2023,4,free_agent,1013229771678900224,1695935311768,2023-09-28T21:08:31.768000+00:00,1695935311768,2023-09-28T21:08:31.768000+00:00,6111,5,,5,,,,True,
2023,4,free_agent,1013229011104784384,1695935130433,2023-09-28T21:05:30.433000+00:00,1695935130433,2023-09-28T21:05:30.433000+00:00,8111,12,,12,,,,True,
2023,5,waiver,1017660272217116672,1697008193217,2023-10-11T07:09:53.217000+00:00,1696991625411,2023-10-11T02:33:45.411000+00:00,827,,5,,,5,27,True,
2023,5,waiver,1017660272217116672,1697008193217,2023-10-11T07:09:53.217000+00:00,1696991625411,2023-10-11T02:33:45.411000+00:00,3257,5,,5,5,,27,True,
2023,5,waiver,1017354823420710912,1697008193217,2023-10-11T07:09:53.217000+00:00,1696918800743,2023-10-10T06:20:00.743000+00:00,167,6,,6,,,7,True,
2023,5,waiver,1017354823420710912,1697008193217,2023-10-11T07:09:53.217000+00:00,1696918800743,2023-10-10T06:20:00.743000+00:00,6598,,6,,,6,7,True,
2023,5,waiver,1017146116233625600,1697008193217,2023-10-11T07:09:53.217000+00:00,1696869041072,2023-10-09T16:30:41.072000+00:00,6878,,3,,,3,0,True,
2023,5,waiver,1017146055323947008,1697008193217,2023-10-11T07:09:53.217000+00:00,1696869026550,2023-10-09T16:30:26.550000+00:00,6659,,3,2,,3,0,True,
2023,5,waiver,1016598444552601600,1696748418779,2023-10-08T07:00:18.779000+00:00,1696738465968,2023-10-08T04:14:25.968000+00:00,3634,,5,,5,5,17,True,
2023,5,free_agent,1016568129478025216,1696731238291,2023-10-08T02:13:58.291000+00:00,1696731238291,2023-10-08T02:13:58.291000+00:00,3161,8,,8,,,,True,
2023,5,trade,1016561451823124480,1696730882343,2023-10-08T02:08:02.343000+00:00,1696729646214,2023-10-08T01:47:26.214000+00:00,4066,5,8,5,8,8,,True,
2023,5,free_agent,1016364493040869376,1696682687581,2023-10-07T12:44:47.581000+00:00,1696682687581,2023-10-07T12:44:47.581000+00:00,5970,4,,4,,,,True,
2023,5,trade,1016271199275495424,1696681299466,2023-10-07T12:21:39.466000+00:00,1696660444614,2023-10-07T06:34:04.614000+00:00,7569,3,4,3,4,4,,True,
2023,5,free_agent,1016237476026867712,1696652404365,2023-10-07T04:20:04.365000+00:00,1696652404365,2023-10-07T04:20:04.365000+00:00,6955,1,,1,,,,True,
2023,5,free_agent,1015223647788683264,1696410688877,2023-10-04T09:11:28.877000+00:00,1696410688877,2023-10-04T09:11:28.877000+00:00,829,5,,5,,,,True,
2023,6,waiver,1020258778517819392,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611157591,2023-10-18T06:39:17.591000+00:00,5010,1,,1,1,,0,True,
2023,6,waiver,1020258778517819392,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611157591,2023-10-18T06:39:17.591000+00:00,829,,1,,,1,0,True,
2023,6,waiver,1020258735161270272,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611147254,2023-10-18T06:39:07.254000+00:00,7794,1,,1,1,,0,True,
2023,6,waiver,1020258735161270272,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611147254,2023-10-18T06:39:07.254000+00:00,862,,1,,,1,0,True,
2023,6,waiver,1020258573365977088,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611108679,2023-10-18T06:38:28.679000+00:00,6694,1,,1,1,,100,True,
2023,6,waiver,1020258573365977088,1697612402016,2023-10-18T07:00:02.016000+00:00,1697611108679,2023-10-18T06:38:28.679000+00:00,11256,,1,,,1,100,True,
2023,6,waiver,1020235464160268288,1697612402016,2023-10-18T07:00:02.016000+00:00,1697605599015,2023-10-18T05:06:39.015000+00:00,2325,,5,,,5,1,True,
2023,6,waiver,1020235292743155712,1697612402016,2023-10-18T07:00:02.016000+00:00,1697605558146,2023-10-18T05:05:58.146000+00:00,1833,,5,,,5,5,True,
2023,6,free_agent,1019313274116087808,1697385731775,2023-10-15T16:02:11.775000+00:00,1697385731775,2023-10-15T16:02:11.775000+00:00,5052,1,,1,,,,True,
2023,6,waiver,1019114190235074560,1697353775168,2023-10-15T07:09:35.168000+00:00,1697338266479,2023-10-15T02:51:06.479000+00:00,11435,7,,7,,,12,True,
2023,6,waiver,1019114190235074560,1697353775168,2023-10-15T07:09:35.168000+00:00,1697338266479,2023-10-15T02:51:06.479000+00:00,10860,,7,,7,7,12,True,
2023,7,waiver,1022730238943424512,1698217232246,2023-10-25T07:00:32.246000+00:00,1698200399674,2023-10-25T02:19:59.674000+00:00,10867,,5,,,5,16,True,
